IssuerName,SecurityId
ABB India Limited,ABB.NS
Aegis Logistics Ltd.,AEGISLOG.NS
Amara Raja Energy & Mobility Limited,ARE&M.NS
Ambalal Sarabhai Enterprise Ltd.,AMBALALSA.NS
Andhra Petrochemicals Ltd.,ANDHRAPET.NS
Ansal Properties & Infrastructure Ltd.,ANSALAPI.NS
UTIQUE ENTERPRISES LIMITED,UTIQUE.NS
Aruna Hotels Ltd.,ARUNAHTEL.NS
Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING.NS
Asian Hotels (North) Limited,ASIANHOTNR.NS
Atul Limited.,ATUL.NS
ATV Projects India Ltd,ATVPR.NS
Bajaj Electricals Ltd.,BAJAJELEC.NS
Bajaj Hindusthan Sugar Limited,BAJAJHIND.NS
Force Motors Limited,FORCEMOT.NS
Bajaj Finance Limited,BAJFINANCE.NS
Balrampur Chini Mills Ltd.,BALRAMCHIN.NS
Banco Products (India) Ltd.,BANCOINDIA.NS
ADITYA BIRLA REAL ESTATE LIMITED,ABREL.NS
Bannari Amman Sugars Ltd.,BANARISUG.NS
BASF India Ltd,BASF.NS
Bata India Limited,BATAINDIA.NS
BEML Ltd,BEML.NS
Bharat Electronics Ltd.,BEL.NS
Bhansali Engineering Polymers Ltd.,BEPL.NS
Bihar Sponge Iron Ltd,BIHSPONG.NS
BIL VYAPAR LIMITED,BILVYAPAR.NS
Birla Cable Limited,BIRLACABLE.NS
Blue Star Ltd,BLUESTARCO.NS
Disa India Ltd.,DISAQ.NS
QUEST CAPITAL MARKETS LIMITED,QUESTCAP.NS
BPL Ltd.,BPL.NS
ORIENTAL AROMATICS LIMITED,OAL.NS
Century Extrusions Ltd.,CENTEXT.NS
CESC Limited,CESC.NS
Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT.NS
Exide Industries Ltd.,EXIDEIND.NS
Cipla Ltd.,CIPLA.NS
DIC India Ltd,DICIND.NS
CRISIL Ltd.,CRISIL.NS
CG Power and Industrial Solutions Limited,CGPOWER.NS
Dabur India Ltd.,DABUR.NS
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG.NS
Arvind Ltd.,ARVIND.NS
Bharat Heavy Electricals Ltd.,BHEL.NS
Hindustan Petroleum Corporation Ltd,HINDPETRO.NS
IFCI Ltd.,IFCI.NS
Mahanagar Telephone Nigam Ltd.,MTNL.NS
Mangalore Refinery & Petrochemicals,MRPL.NS
Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS
State Bank Of India,SBIN.NS
Steel Authority of India Ltd.,SAIL.NS
Titan Company Limited,TITAN.NS
IDBI Bank Ltd,IDBI.NS
DCW Ltd.,DCW.NS
Dhampur Sugar Mills Ltd.,DHAMPURSUG.NS
Diamines & Chemicals Ltd.,DIAMINESQ.NS
Elantas Beck India Ltd,ELANTAS.NS
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS
E.I.D. Parry (India) Ltd.,EIDPARRY.NS
PROCTER & GAMBLE HEALTH LIMITED,PGHL.NS
Electrosteel Castings Ltd.,ELECTCAST.NS
Esab India Ltd.,ESABINDIA.NS
EPL LIMITED,EPL.NS
Ester Industries Ltd.,ESTER.NS
FGP Ltd,FGP.NS
P.H. Capital Ltd.,PHCAP.NS
Finolex Cables Ltd.,FINCABLES.NS
JOHN COCKERILL INDIA LIMITED,COCKERILL.NS
Uflex Limited,UFLEX.NS
Foseco India Ltd,FOSECOIND.NS
Golden Tobacco Ltd.,GOLDENTOBC.NS
Ganesh Benzoplast Ltd.,GANESHBE.NS
Metroglobal Limited,METROGLOBL.NS
GTL Ltd,GTL.NS
Godfrey Phillips India Ltd.,GODFRYPHLP.NS
Godrej Industries Ltd.,GODREJIND.NS
Kansai Nerolac Paints,KANSAINER.NS
Goodricke Group Ltd.,GOODRICKE.NS
Goodyear India Ltd.,GOODYEAR.NS
GTN Industries Limited,GTNINDS.NS
GHCL Ltd.,GHCL.NS
GFL LIMITED,GFLLIMITED.NS
Gujarat Lease Financing Limited,GLFL.NS
HCL Infosystems Ltd,HCL-INSYS.NS
HDFC Bank Ltd.,HDFCBANK.NS
Hero MotoCorp Limited,HEROMOTOCO.NS
HFCL LIMITED,HFCL.NS
Himadri Speciality Chemical Ltd.,HSCL.NS
Hindustan Construction Co. Ltd.,HCC.NS
Hindustan Oil Exploration Co. Ltd.,HINDOILEXP.NS
AGI GREENPAC LIMITED,AGI.NS
Hindustan Zinc Ltd.,HINDZINC.NS
NDL Ventures Limited,NDLVENTURE.NS
HMT Limited,HMT.NS
Prag Bosimi Synthetics Ltd.,PRAGBOS.NS
HLV LIMITED,HLVLTD.NS
IG Petrochemicals Ltd,IGPL.NS
India Glycols Ltd,INDIAGLYCO.NS
India Lease Devl. Ltd.,INDLEASE.NS
Margo Finance Limited,MARGOFIN.NS
Indo Rama Synthetics (India) Ltd.,INDORAMA.NS
Infosys Ltd,INFY.NS
Ingersoll-Rand (India) Ltd.,INGERRAND.NS
International Travel House Ltd,ITHL.NS
Ion Exchange (India) Ltd,IONEXCHANG.NS
SUNDROP BRANDS LIMITED,SUNDROP.NS
Jain Irrigation Systems Ltd.,JISLJALEQS.NS
Jasch Industries Ltd.,JASCH.NS
Jindal Poly Films Ltd.,JINDALPOLY.NS
JSW Steel Limited,JSWSTEEL.NS
Kajaria Ceramics Ltd,KAJARIACER.NS
Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM.NS
Kalyani Steels Ltd,KSL.NS
Whirlpool of India Ltd,WHIRLPOOL.NS
K.G.Denim Ltd,KGDENIM.NS
Kinetic Engineering Ltd.,KINETICENG.NS
Kirloskar Brothers Ltd.,KIRLOSBROS.NS
Kirloskar Industries Ltd,KIRLOSIND.NS
Kirloskar Ferrous Industries Ltd.,KIRLFER.NS
Envair Electrodyne Ltd.,ENVAIREL.NS
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS
KSB LIMITED,KSB.NS
L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD.NS
Trent Ltd [Lakme Ltd],TRENT.NS
LMW Limited,LMW.NS
Lic Housing Finance Ltd.,LICHSGFIN.NS
Lupin Ltd,LUPIN.NS
Lyka Labs Ltd.,LYKALABS.NS
The Ramco Cements Limited,RAMCOCEM.NS
HYBRID FINANCIAL SERVICES LIMITED,HYBRIDFIN.NS
Mafatlal Industries Ltd.,MAFATIND.NS
Maharashtra Seamless Ltd.,MAHSEAMLES.NS
Maharashtra Scooters Ltd.,MAHSCOOTER.NS
Majestic Auto Ltd.,MAJESAUT.NS
Manali Petrochemicals Ltd.,MANALIPETC.NS
Baroda Rayon Corpn. Ltd.,BARODARY.NS
Max Financial Services Limited,MFSL.NS
Mid India Industries Limited,MIDINDIA.NS
Mirc Electronics Ltd,MIRCELECTR.NS
Century Enka Ltd.,CENTENKA.NS
Modern Thread (India) Ltd.,MODTHREAD.NS
Lords Chloro Alkali Ltd,LORDSCHLO.NS
SpiceJet Limited,SPICEJET.NS
Morepen Laboratories Ltd.,MOREPENLAB.NS
M.R.F. Ltd.,MRF.NS
HeidelbergCement India Limited,HEIDELBERG.NS
NCC Limited,NCC.NS
Vedanta Limited,VEDL.NS
Nahar Spinning Mills Ltd.,NAHARSPING.NS
Naperol Investments Limited,NAPEROL.NS
Grasim Industries Ltd,GRASIM.NS
Piramal Enterprises Limited,PEL.NS
NIIT Ltd.,NIITLTD.NS
Jaykay Enterprises Limited,JAYKAY.NS
Nirlon Limited,NIRLON.NS
Oil And Natural Gas Corporation Ltd,ONGC.NS
Oil Country Tubular Ltd.,OILCOUNTUB.NS
Oriental Hotels Ltd.,ORIENTHOT.NS
Oswal Agro Mills Ltd.,OSWALAGRO.NS
Indian Sucrose Ltd.,INDSUCR.NS
Panyam Cements & Mineral Inds. Ltd.,PANCM.NS
Reliance Industries Ltd,RELIANCE.NS
Pil Italica Lifestyle Limited,PILITA.NS
Raymond Limited,RAYMOND.NS
Pidilite Industries Ltd.,PIDILITIND.NS
Pix Transmissions Ltd.,PIXTRANS.NS
Birla Corporation Ltd.,BIRLACORPN.NS
Surya Roshni Ltd.,SURYAROSNI.NS
Prime Securities Ltd.,PRIMESECU.NS
PRISM JOHNSON LIMITED.,PRSMJOHNSN.NS
Rain Industries Limited,RAIN.NS
Prudential Sugar Corporation Ltd,PRUDMOULI.NS
AMJ LAND HOLDINGS LIMITED,AMJLAND.NS
Punjab Communications Limited,PUNJCOMMU.NS
RSWM Limited,RSWM.NS
Rajshree Sugars & Chemicals Ltd.,RAJSREESUG.NS
Rallis India Ltd,RALLIS.NS
Shree Rama Newsprint Limited,RAMANEWS.NS
Rama Paper Mills Limited,RAMAPPR-B.NS
Rapicut Carbides Ltd.,RAPICUT.NS
WELSPUN SPECIALTY SOLUTIONS LIMITED,WELSPLSOL.NS
Rolta India Ltd.,ROLTA.NS
Rubfila International Ltd.,RUBFILA.NS
Patanjali Foods Limited,PATANJALI.NS
Salora International Limited,SALORAINTL.NS
Jindal Saw Ltd.,JINDALSAW.NS
JK Lakshmi Cement Limited,JKLAKSHMI.NS
Shree Cements Ltd.,SHREECEM.NS
Shree Krishna Paper Mills & Industr,SKPMIL.NS
Silverline Technologies Ltd.,SILVERLINE.NS
Reliance Infrastructure Ltd,RELINFRA.NS
Tata Power Co. Ltd,TATAPOWER.NS
SPML Infra Limited,SPMLINFRA.NS
Sundram Fasteners Ltd.,SUNDRMFAST.NS
Sunflag Iron & Steel Co. Ltd.,SUNFLAG.NS
Supreme Petrochem Ltd.,SPLPETRO.NS
Swaraj Engines Ltd.,SWARAJENG.NS
Tata Elxsi Ltd,TATAELXSI.NS
ACC Ltd,ACC.NS
Thermax Ltd.,THERMAX.NS
Thirumalai Chemicals Ltd.,TIRUMALCHM.NS
Thomas Cook (India) Ltd.,THOMASCOOK.NS
Timex Group India Ltd,TIMEX.NS
Tokyo Plast International Ltd.,TOKYOPLAST.NS
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS
TPI India Ltd.,TPINDIA.NS
Transchem Limited.,TRANSCHEM.NS
Ambuja Cements Ltd.,AMBUJACEM.NS
UTL Industries Limited,UTLINDS.NS
Uniphos Enterprises Limited.,UNIENTER.NS
Vardhman Holdings Limited,VHL.NS
Hindalco Industries Ltd.,HINDALCO.NS
West Coast Paper Mills Limited,WSTCSTPAPR.NS
Hindustan Organic Chemicals Ltd.,HOCL.NS
MPIL CORPORATION LIMITED,MPILCORPL.NS
Pasupati Acrylon Ltd.,PASUPTAC.NS
Kore Foods Limited,KORE.NS
Procter & Gamble Hygiene & Health Care Ltd.,PGHH.NS
Mukand Ltd.,MUKANDLTD.NS
BLACK BOX LIMITED,BBOX.NS
UCAL LIMITED,UCAL.NS
Harrisons Malayalam Ltd.,HARRMALAYA.NS
Federal Bank Ltd.,FEDERALBNK.NS
TATA STEEL LIMITED,TATASTEEL.NS
SKF India Ltd.,SKFINDIA.NS
Ashok Leyland Ltd.,ASHOKLEY.NS
Cummins India Ltd.,CUMMINSIND.NS
Tata Communications Limited,TATACOMM.NS
Abbott India Ltd.,ABBOTINDIA.NS
Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS
Bharat Forge Ltd,BHARATFORG.NS
Escorts Kubota Limited,ESCORTS.NS
Hindustan Motors Ltd.,HINDMOTORS.NS
Larsen & Toubro Limited,LT.NS
Mahindra & Mahindra Ltd.,M&M.NS
Bosch Ltd,BOSCHLTD.NS
Premier Limited,PREMIER.NS
Bharat Petroleum Corpn. Ltd.,BPCL.NS
Siemens Ltd.,SIEMENS.NS
Tata Motors Ltd.,TATAMOTORS.NS
Voltas Ltd.,VOLTAS.NS
Great Eastern Shipping Co. Ltd.,GESHIP.NS
Deepak Fertilizers &Petrochemicals,DEEPAKFERT.NS
Excell Industries Ltd.,EXCELINDUS.NS
GARWARE HI-TECH FILMS LIMITED,GRWRHITECH.NS
GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO.NS
Gujarat Narmada Valley Fert.Co.Ltd,GNFC.NS
